ФИО;Пол;Дата рождения;СНИЛС
Ломиева;Кристина;Сергеевна;274-648-967 53;07.09.1986
Силахина;Ксения;Дмитриевна;230-416-839 75;30.10.1955
Стеина;Валентина;Николаевна;124-970-294 54;20.03.1979
Бабских;Екатерина;Ивановна;011-514-872 26;26.08.1994
Сырлыбаева;Раиса;Никитична;933-850-173 04;24.04.1977
Нюхлякова;Екатерина;Леонидовна;415-969-758 63;07.07.1962
Худбеева;Лариса;Сергеевна;661-173-616 17;28.12.1943
Балуева;Любовь;Василевна;626-575-733 54;14.04.1981
Ватлова;Клара;Кирилловна;004-887-894 52;07.03.1945
Обрешкова;Наталия;Богдановна;858-730-719 65;06.04.1986
Путренкова;Кристина;Сергеевна;140-425-275 17;10.07.1993
Ловыгина;Светлана;Николаевна;264-588-865 39;12.03.1949
Буточкина;Виолетта;Евгеньевна;616-308-940 16;08.05.1983
Джагаева;Алина;Николаевна;909-459-598 69;10.05.1949
Патовкина;Лариса;Игоревна;427-997-798 14;30.03.1993
Ваньшева;Мария;Романовна;981-431-269 48;25.08.1986
Гультяева;Тамара;Игоревна;375-847-616 73;31.07.1954
Гитлина;София;Кирилловна;809-987-560 80;11.08.1970
Кочакова;Любовь;Вадимовна;169-625-937 02;28.05.1972
Машицина;Валерия;Егоровна;292-976-486 34;08.05.2005
Гурашова;Надежда;Никитична;976-598-375 25;07.02.1991
Евлева;Лариса;Эдуардовна;161-005-925 05;12.03.1962
Ирмицына;София;Романовна;699-257-422 16;10.06.1963
Сувушова;Клавдия;Евгеньевна;271-877-128 65;13.11.1976
Мешайкина;Валерия;Евгеньевна;012-225-326 77;21.04.2003
Блюсова;Александра;Василевна;841-740-939 86;22.01.2004
Душеина;Алена;Викторовна;812-349-932 49;20.06.1981
Чуршунова;Ольга;Леонидовна;337-823-555 51;14.11.1966
Вебникова;Ксения;Викторовна;421-498-026 25;11.08.2007
Губернева;Инна;Вадимовна;083-384-747 94;30.03.1979
Балдихина;Дарья;Михайловна;560-424-660 90;26.02.1951
Саслина;Кристина;Яковлевна;991-756-835 92;03.07.2003
Какорина;Валерия;Викторовна;768-045-484 60;12.08.1971
Жугунова;Елена;Аркадьевна;562-951-467 76;23.04.1987
Ширясова;Виолетта;Борисовна;278-787-190 69;08.08.2002
Грозыкина;Карина;Сергеевна;639-284-990 94;28.12.1984
Калядкина;Анастасия;Петровна;672-517-235 07;13.04.1976
Гуяшкина;Алина;Никитична;469-690-679 47;23.07.1970
Икомасова;Елена;Егоровна;387-220-276 14;23.07.2005
Агарунова;Инна;Егоровна;705-417-436 27;22.08.1973
Шторова;Дарья;Андреевна;488-886-939 81;14.04.1947
Тарасьева;Александра;Михайловна;822-837-755 91;02.11.1949
Лоналина;Алиса;Петровна;501-229-435 12;06.12.1953
Хрясова;Валентина;Борисовна;889-245-040 59;24.09.1956
Енбаева;Виктория;Максимовна;466-378-713 51;13.04.1943
Нуршанова;Лиза;Кирилловна;661-608-510 61;29.12.2007
Куйбина;Елизавета;Федоровна;067-487-909 27;13.01.1953
Крахотина;Алиса;Петровна;902-641-648 56;12.01.1950
Боронкина;Раиса;Вадимовна;988-814-793 06;08.02.1969
Огнкова;Марина;Аркадьевна;736-493-233 05;18.11.1984
Шамимова;Оксана;Петровна;736-653-365 52;15.09.1978
Коликина;Ольга;Егоровна;178-001-241 14;25.01.1969
Мурынина;Анастасия;Аркадьевна;708-306-327 10;21.03.2006
Лукова;Инна;Ивановна;149-709-389 37;11.01.1982
Сетеева;Жанна;Кирилловна;888-197-323 34;25.06.2005
Злуникина;Яна;Михайловна;856-267-931 51;13.05.1949
Бурокова;Клара;Егоровна;503-116-466 27;09.02.1991
Байбичева;Любовь;Петровна;327-100-107 18;07.05.1952
Бутючина;Вера;Федоровна;739-234-568 87;19.02.2004
Стевакина;Карина;Викторовна;891-159-742 50;18.09.1968
Акжичитова;Светлана;Аркадьевна;126-579-755 18;07.11.1962
Лавковская;Яна;Сергеевна;982-766-067 79;05.02.1996
Очнина;Карина;Андреевна;055-951-039 34;03.07.1998
Котлина;Анна;Ивановна;032-248-460 97;20.02.1982
Герлова;Валерия;Дмитриевна;817-983-739 34;09.08.1964
Вольхина;Валерия;Василевна;565-645-304 91;22.06.1957
Тушилина;Дарья;Василевна;836-929-855 26;11.03.2005
Шебаркина;Виолетта;Егоровна;623-677-076 74;11.10.1954
Мошникова;Виктория;Эдуардовна;573-794-293 84;15.05.1960
Выхвалова;Марина;Максимовна;598-698-881 47;17.03.1993
Семернева;Ольга;Борисовна;438-954-695 33;07.12.1981
Бисиркина;Ева;Петровна;923-931-838 80;25.11.1953
Гортункова;Кира;Алексеевна;786-498-210 98;09.01.1975
Мумжиева;Жанна;Леонидовна;556-674-923 65;07.07.2004
Болтасова;Елизавета;Романовна;466-963-598 56;16.11.1984
Хрисанфова;Кристина;Василевна;570-225-001 87;13.01.1963
Стриганова;Анастасия;Борисовна;843-940-166 27;04.04.1971
Рамцева;Александра;Михайловна;616-200-913 59;13.01.2004
Устламина;Светлана;Михайловна;351-029-084 13;18.02.1960
Кульмакова;Алиса;Василевна;684-381-032 55;12.04.1967
Макеева;Валентина;Борисовна;779-202-375 22;10.09.1984
Прядохина;Марина;Михайловна;562-332-622 65;18.12.2000
Мишнова;Алиса;Петровна;388-108-760 25;17.10.1962
Савнина;Раиса;Дмитриевна;045-497-666 23;22.02.1976
Щепева;Вероника;Дмитриевна;705-408-141 57;02.03.2007
Фометова;Софья;Леонидовна;381-650-346 13;28.02.1983
Шайтшанова;Марина;Борисовна;572-448-322 93;25.05.1990
Баллаева;Тамара;Игоревна;808-387-251 21;08.02.2001
Скугарева;Елизавета;Аркадьевна;182-942-776 02;10.05.1967
Грейдина;Софья;Романовна;213-759-150 99;26.02.1990
Скробова;Юлия;Ивановна;287-702-966 93;01.10.1946
Борзыкина;Виктория;Алексеевна;863-465-825 65;03.02.1988
Вихменина;Маргарита;Богдановна;167-125-598 06;15.10.1977
Смукова;Александра;Игоревна;922-026-895 88;12.11.1986
Анушкина;Вероника;Евгеньевна;297-549-692 16;06.02.1959
Бобакова;Елена;Романовна;481-249-682 74;28.01.1988
Блопова;Галина;Олеговна;288-198-196 19;11.03.2001
Лазоркина;Дарья;Максимовна;292-125-131 27;19.05.1988
Ронисина;Кира;Эдуардовна;038-998-415 84;25.08.2000
Бадзына;Клавдия;Егоровна;673-951-253 10;27.02.1952
Кучевская;Вера;Аркадьевна;089-252-725 33;01.07.2001
Авграшина;Александра;Сергеевна;307-795-966 52;12.09.1943
Якорева;Клавдия;Яковлевна;074-493-409 54;15.10.1976
Ялыгина;Елена;Ивановна;086-236-937 90;30.09.1946
Шулюгина;Светлана;Андреевна;472-151-540 50;03.03.1944
Ивешникова;Алиса;Николаевна;589-956-892 46;30.03.1977
Бубакина;Оксана;Вадимовна;819-456-869 57;30.04.1958
Пожаркова;Карина;Евгеньевна;431-995-939 54;21.07.1974
Алова;Клавдия;Федоровна;427-384-682 74;30.03.1969
Вилюжанина;Клавдия;Алексеевна;879-274-200 46;22.08.1993
Стрепухова;Вера;Вадимовна;446-908-474 79;15.05.1945
Штроткина;Кира;Евгеньевна;317-207-671 18;05.11.1962
Заломкина;Вероника;Николаевна;122-725-540 77;25.02.1982
Альбекова;София;Федоровна;833-900-375 18;26.11.1951
Шемяткина;Валерия;Богдановна;933-028-803 96;09.02.1989
Турусикова;Дарья;Никитична;833-902-378 65;13.09.1987
Ширинкина;Инна;Валерьевна;028-460-591 28;02.06.2001
Зогина;Маргарита;Яковлевна;785-776-993 58;19.11.2006
Авсенина;Галина;Эдуардовна;216-468-946 18;20.04.1998
Мамурина;Любовь;Аркадьевна;626-883-495 15;18.12.1972
Качутова;Ирина;Федоровна;290-455-115 78;10.09.1946
Бягина;Тамара;Валерьевна;683-679-571 90;12.04.1981
Акарачкина;Валентина;Романовна;099-727-747 18;16.02.1984
Гринишина;София;Яковлевна;992-326-065 15;10.11.1978
Грудцинова;Елена;Никитична;835-512-376 35;16.12.1982
Бяшерова;Наталья;Андреевна;071-305-751 90;12.02.1980
Чебанькова;Клара;Алексеевна;458-493-560 36;12.12.2001
Падушкина;Карина;Богдановна;702-025-634 87;14.05.1983
Максатова;Алена;Леонидовна;425-161-779 00;30.07.1948
Беськаева;Клавдия;Олеговна;596-547-460 33;02.05.1965
Шилимина;Карина;Андреевна;746-519-820 17;28.12.1971
Согомонова;Елена;Леонидовна;181-562-249 50;19.11.2005
Шагиева;Ева;Леонидовна;568-545-027 20;23.02.1947
Авдокушина;Екатерина;Никитична;943-211-395 19;19.05.1967
Потрусова;Алина;Богдановна;711-220-621 18;25.02.1975
Хусенкова;Наталья;Вадимовна;971-679-975 64;25.06.2008
Скирская;Ева;Никитична;032-970-771 41;19.06.1998
Баннанова;Маргарита;Кирилловна;452-922-815 26;26.02.2008
Манушкова;Алиса;Егоровна;278-218-324 01;03.02.1944
Земляхина;Евгения;Олеговна;639-586-574 10;14.02.1990
Сагатова;Вероника;Никитична;781-465-651 30;06.06.1977
Раздалова;Дарья;Василевна;738-128-931 30;03.05.1986
Пильчаева;Наталия;Егоровна;443-398-701 18;09.12.1953
Ивкова;Мария;Борисовна;906-597-488 56;21.11.1980
Офросимова;Кира;Леонидовна;436-312-073 65;18.07.1969
Гребецкая;Зинаида;Никитична;529-742-601 73;08.09.1998
Коливанова;Алёна;Михайловна;501-371-319 06;17.05.1961
Мартишина;Карина;Евгеньевна;077-339-331 98;26.02.1979
Шершенова;Анна;Эдуардовна;327-349-960 69;20.04.1976
Гришакова;Алена;Сергеевна;029-554-349 78;11.08.1981
Курбанова;Инна;Петровна;865-258-314 10;07.04.2006
Комаргина;Вероника;Валерьевна;532-719-252 09;02.07.1963
Боголепова;Алина;Федоровна;778-557-580 72;18.01.1978
Мовсумова;Екатерина;Федоровна;485-428-113 74;02.02.1987
Каяева;Анна;Сергеевна;491-668-845 11;31.01.1944
